KPNA7	ENSG00000185467.7	HGNC:21839	OTTHUMG00000154412.1
SLC22A4	ENSG00000197208.6	HGNC:10968	OTTHUMG00000059648.7
AC034102.4	ENSG00000257553.1		OTTHUMG00000170262.1
AC005005.4	ENSG00000278920.1		OTTHUMG00000189271.1
SPATA31D3	ENSG00000186788.13	HGNC:38603	OTTHUMG00000020084.3
OR51F1	ENSG00000280021.1	HGNC:15196	OTTHUMG00000066503.3
BIRC7	ENSG00000101197.13	HGNC:13702	OTTHUMG00000032957.3
PFKL	ENSG00000141959.17	HGNC:8876	OTTHUMG00000086910.3
AC010359.3	ENSG00000286314.1		OTTHUMG00000195569.1
AC027018.1	ENSG00000254538.1		OTTHUMG00000165228.1
CAB39P1	ENSG00000251303.1	HGNC:51641	OTTHUMG00000162415.1
RNF32	ENSG00000105982.16	HGNC:17118	OTTHUMG00000151440.3
SNORD127	ENSG00000239043.1	HGNC:33555	
LRRC8B	ENSG00000197147.13	HGNC:30692	OTTHUMG00000010129.5
OTX2-AS1	ENSG00000248550.4	HGNC:43906	OTTHUMG00000171304.2
AP001052.1	ENSG00000281420.1		
RNU6-400P	ENSG00000212475.1	HGNC:47363	
TBC1D17	ENSG00000104946.13	HGNC:25699	OTTHUMG00000183376.4
LGMN	ENSG00000100600.15	HGNC:9472	OTTHUMG00000171199.5
MIR6850	ENSG00000283764.1	HGNC:50093	
KRT18P25	ENSG00000249064.1	HGNC:33394	OTTHUMG00000160583.1
AC062037.2	ENSG00000273196.1		OTTHUMG00000185994.1
Z82205.1	ENSG00000227064.1		OTTHUMG00000022428.1
AC005592.2	ENSG00000287203.1		OTTHUMG00000195112.1
AC133644.3	ENSG00000284879.1		OTTHUMG00000192459.1
DUTP4	ENSG00000229829.1	HGNC:39517	OTTHUMG00000022632.1
INA	ENSG00000148798.11	HGNC:6057	OTTHUMG00000018986.2
ENTR1	ENSG00000165689.17	HGNC:10667	OTTHUMG00000020928.14
AL512356.3	ENSG00000280244.1		OTTHUMG00000170463.1
ZRSR2P1	ENSG00000212643.3	HGNC:12456	OTTHUMG00000163143.7
PCIF1	ENSG00000100982.12	HGNC:16200	OTTHUMG00000032635.4
AP000561.1	ENSG00000226043.2		OTTHUMG00000078249.3
FAP	ENSG00000078098.14	HGNC:3590	OTTHUMG00000153890.9
LINC01346	ENSG00000233304.7	HGNC:50563	OTTHUMG00000000499.5
AC133963.2	ENSG00000249320.1		OTTHUMG00000160587.1
AC093591.1	ENSG00000244021.4		OTTHUMG00000157551.2
CCNI2	ENSG00000205089.7	HGNC:33869	OTTHUMG00000059737.1
VLDLR-AS1	ENSG00000236404.10	HGNC:49621	OTTHUMG00000019448.5
INHCAP	ENSG00000242337.5	HGNC:11759	OTTHUMG00000159751.1
AC091179.1	ENSG00000242407.1		OTTHUMG00000159903.1
STK33P1	ENSG00000227412.1	HGNC:26871	OTTHUMG00000020122.1
ST6GALNAC3	ENSG00000184005.11	HGNC:19343	OTTHUMG00000009615.2
AC011899.1	ENSG00000231980.1		OTTHUMG00000152647.2
RNF19BPY	ENSG00000225653.1	HGNC:38398	OTTHUMG00000036180.1
AC005912.2	ENSG00000275850.1		OTTHUMG00000187095.1
AL353689.2	ENSG00000233706.1		OTTHUMG00000037620.1
Z98048.1	ENSG00000230769.1		OTTHUMG00000151140.1
TF	ENSG00000091513.16	HGNC:11740	OTTHUMG00000150356.5
AARSP1	ENSG00000249038.2	HGNC:49894	OTTHUMG00000161188.2
MIR3150BHG	ENSG00000245080.7	HGNC:52000	OTTHUMG00000164658.3
HMGB1P27	ENSG00000230611.1	HGNC:39118	OTTHUMG00000154510.1
AC022616.2	ENSG00000253186.2		OTTHUMG00000164106.2
BTD	ENSG00000169814.14	HGNC:1122	OTTHUMG00000129861.18
STYXL1	ENSG00000127952.17	HGNC:18165	OTTHUMG00000130459.5
AL354980.1	ENSG00000252682.1		
REELD1	ENSG00000250673.2	HGNC:53638	OTTHUMG00000161438.6
SNORD14A	ENSG00000272034.1	HGNC:10113	
VN1R9P	ENSG00000276400.1	HGNC:20257	OTTHUMG00000188007.1
EPOP	ENSG00000273604.2	HGNC:34493	OTTHUMG00000188495.2
AL355798.1	ENSG00000284951.1		OTTHUMG00000192473.1
RBM6	ENSG00000004534.15	HGNC:9903	OTTHUMG00000156736.13
MIR4642	ENSG00000266619.1	HGNC:41865	
DYNC1H1	ENSG00000197102.12	HGNC:2961	OTTHUMG00000171644.11
AC110285.1	ENSG00000262223.8		OTTHUMG00000177950.10
ZNF34	ENSG00000196378.11	HGNC:13098	OTTHUMG00000165248.2
TTI2	ENSG00000129696.12	HGNC:26262	OTTHUMG00000163956.4
AC005786.2	ENSG00000267231.1		OTTHUMG00000180787.1
BRD1	ENSG00000100425.18	HGNC:1102	OTTHUMG00000150288.3
AP000753.3	ENSG00000271100.1		OTTHUMG00000184819.1
TCEAL4	ENSG00000133142.17	HGNC:26121	OTTHUMG00000022103.8
AC025187.1	ENSG00000249994.1		OTTHUMG00000161630.1
AL356095.3	ENSG00000282432.1		OTTHUMG00000191404.1
AL929288.1	ENSG00000225006.1		OTTHUMG00000035627.1
AF111168.1	ENSG00000212371.1		
AC007262.2	ENSG00000284959.2		OTTHUMG00000171432.3
AC087762.2	ENSG00000279588.2		OTTHUMG00000192058.1
RPS7P13	ENSG00000235425.2	HGNC:35756	OTTHUMG00000021980.2
AL390243.1	ENSG00000227935.1		OTTHUMG00000010108.1
OFCC1	ENSG00000181355.21	HGNC:21017	OTTHUMG00000159104.9
GART	ENSG00000159131.17	HGNC:4163	OTTHUMG00000065628.26
AC007991.3	ENSG00000253939.1		OTTHUMG00000164192.2
RNU6-518P	ENSG00000251865.1	HGNC:47481	
RPL9	ENSG00000163682.16	HGNC:10369	OTTHUMG00000099367.7
PTBP2	ENSG00000117569.18	HGNC:17662	OTTHUMG00000010685.2
RPL7AP57	ENSG00000242248.2	HGNC:36551	OTTHUMG00000158435.2
RNU6-244P	ENSG00000212330.1	HGNC:47207	
RPSAP4	ENSG00000239269.1	HGNC:20018	OTTHUMG00000158121.1
CYP2C60P	ENSG00000260863.1	HGNC:42410	OTTHUMG00000172690.1
CCZ1B	ENSG00000146574.15	HGNC:21717	OTTHUMG00000152441.3
COL8A1	ENSG00000144810.16	HGNC:2215	OTTHUMG00000148669.5
FXYD2	ENSG00000137731.14	HGNC:4026	OTTHUMG00000166990.3
AL512506.1	ENSG00000274001.1		OTTHUMG00000187382.1
PAFAH1B2	ENSG00000168092.14	HGNC:8575	OTTHUMG00000167064.4
DFFB	ENSG00000169598.15	HGNC:2773	OTTHUMG00000003525.6
AC022210.1	ENSG00000213399.3		OTTHUMG00000153009.1
Y_RNA	ENSG00000200174.1		
AC036108.3	ENSG00000261616.1		OTTHUMG00000177238.1
RPL9P7	ENSG00000238103.4	HGNC:30335	OTTHUMG00000021254.3
RN7SL160P	ENSG00000241159.3	HGNC:46176	
AC016821.1	ENSG00000287306.1		OTTHUMG00000195183.1
RPL5P10	ENSG00000234067.1	HGNC:36846	OTTHUMG00000156008.1
IFNG	ENSG00000111537.5	HGNC:5438	OTTHUMG00000169113.2
AC136188.1	ENSG00000257587.1		OTTHUMG00000169688.1
MTND4P15	ENSG00000227321.2	HGNC:42202	OTTHUMG00000020218.1
AC027801.2	ENSG00000249176.1		OTTHUMG00000161828.1
AL353693.1	ENSG00000229312.2		OTTHUMG00000019981.2
OR5BH1P	ENSG00000242610.2	HGNC:15407	OTTHUMG00000022407.2
C1orf220	ENSG00000213057.5	HGNC:33805	OTTHUMG00000035078.2
LINC01140	ENSG00000267272.5	HGNC:27922	OTTHUMG00000181765.1
AL110118.1	ENSG00000258595.2		OTTHUMG00000171264.2
AC055731.1	ENSG00000240752.1		OTTHUMG00000157326.1
MRPL54	ENSG00000183617.5	HGNC:16685	OTTHUMG00000180873.2
ASB18	ENSG00000182177.14	HGNC:19770	OTTHUMG00000153086.3
TNFSF10	ENSG00000121858.11	HGNC:11925	OTTHUMG00000156917.3
RNA5SP253	ENSG00000252029.1	HGNC:43153	
ZNF208	ENSG00000160321.15	HGNC:12999	OTTHUMG00000182913.3
CHST8	ENSG00000124302.13	HGNC:15993	OTTHUMG00000180472.8
HNRNPA1P73	ENSG00000236569.3	HGNC:48803	OTTHUMG00000033395.4
RN7SL66P	ENSG00000264030.2	HGNC:46082	
AL139274.2	ENSG00000272008.1		OTTHUMG00000185794.1
AC137800.1	ENSG00000259966.6		OTTHUMG00000177778.2
AC004980.3	ENSG00000230305.2		OTTHUMG00000155727.2
AC099654.11	ENSG00000284291.1		OTTHUMG00000192007.1
HNRNPC	ENSG00000092199.17	HGNC:5035	OTTHUMG00000170757.3
RELCH	ENSG00000134444.14	HGNC:29289	OTTHUMG00000132780.6
CERS1	ENSG00000223802.7	HGNC:14253	OTTHUMG00000183049.2
MAN1C1	ENSG00000117643.14	HGNC:19080	OTTHUMG00000004417.3
MRPL9P1	ENSG00000254305.1	HGNC:29726	OTTHUMG00000164556.1
HMBOX1	ENSG00000147421.18	HGNC:26137	OTTHUMG00000172138.4
AC112656.1	ENSG00000238193.1		OTTHUMG00000021091.1
AC022616.1	ENSG00000234713.3		OTTHUMG00000164109.1
AC020907.6	ENSG00000285526.1		OTTHUMG00000193383.1
AC010733.2	ENSG00000267520.2		OTTHUMG00000179927.2
RNU6-1101P	ENSG00000252053.1	HGNC:48064	
MIR8089	ENSG00000277912.1	HGNC:50196	
ZNF790	ENSG00000197863.9	HGNC:33114	OTTHUMG00000165616.5
AC091152.3	ENSG00000271222.1		OTTHUMG00000184907.1
RNU6-199P	ENSG00000199824.1	HGNC:47162	
CARS-AS1	ENSG00000247473.2	HGNC:40125	OTTHUMG00000165360.1
AKIRIN1	ENSG00000174574.16	HGNC:25744	OTTHUMG00000007496.3
AL080243.2	ENSG00000237214.3		OTTHUMG00000150944.1
ETF1P1	ENSG00000232757.1	HGNC:3478	OTTHUMG00000031163.2
AC109322.2	ENSG00000288096.1		OTTHUMG00000195651.1
P3H2	ENSG00000090530.10	HGNC:19317	OTTHUMG00000156312.6
AC104463.2	ENSG00000226862.1		OTTHUMG00000041394.1
ACSL3	ENSG00000123983.14	HGNC:3570	OTTHUMG00000133160.6
SNORA21	ENSG00000199293.1	HGNC:32611	
PTGER4	ENSG00000171522.6	HGNC:9596	OTTHUMG00000094769.5
AC024082.2	ENSG00000231931.1		OTTHUMG00000155788.2
HAPLN3	ENSG00000140511.11	HGNC:21446	OTTHUMG00000148680.5
RGL3	ENSG00000205517.12	HGNC:30282	OTTHUMG00000172898.11
HSD17B1P1	ENSG00000108785.7	HGNC:5216	OTTHUMG00000180242.1
TMEM106A	ENSG00000184988.8	HGNC:28288	OTTHUMG00000180879.4
HSPA8P14	ENSG00000257539.2	HGNC:44929	OTTHUMG00000169549.2
AC124312.3	ENSG00000261069.3		OTTHUMG00000176878.1
RNA5SP88	ENSG00000202430.1	HGNC:42886	
AC046143.1	ENSG00000229334.1		OTTHUMG00000156018.1
SOX13	ENSG00000143842.15	HGNC:11192	OTTHUMG00000036050.6
RPL12P47	ENSG00000219222.1	HGNC:51939	OTTHUMG00000014728.1
NT5C3A	ENSG00000122643.21	HGNC:17820	OTTHUMG00000152983.9
OR4H6P	ENSG00000284892.1	HGNC:8312	OTTHUMG00000172787.3
HNRNPA1P58	ENSG00000219582.3	HGNC:48788	OTTHUMG00000014353.3
PEX6	ENSG00000124587.14	HGNC:8859	OTTHUMG00000014713.2
HNRNPFP1	ENSG00000227538.1	HGNC:48812	OTTHUMG00000006363.1
IFI44L	ENSG00000137959.16	HGNC:17817	OTTHUMG00000009724.6
CD99	ENSG00000002586.20	HGNC:7082	OTTHUMG00000021073.12
ZC3H8	ENSG00000144161.13	HGNC:30941	OTTHUMG00000153270.4
AC006459.1	ENSG00000286908.1		OTTHUMG00000195063.1
RECQL	ENSG00000004700.16	HGNC:9948	OTTHUMG00000169131.3
STOML1	ENSG00000067221.14	HGNC:14560	OTTHUMG00000137608.6
PIH1D1	ENSG00000104872.11	HGNC:26075	OTTHUMG00000183167.4
AC114296.1	ENSG00000250378.4		OTTHUMG00000163102.7
AC026336.1	ENSG00000242963.1		OTTHUMG00000157836.1
AC087360.1	ENSG00000253951.1		OTTHUMG00000163855.1
ASNS	ENSG00000070669.17	HGNC:753	OTTHUMG00000022892.14
AC011487.4	ENSG00000274892.1		OTTHUMG00000188032.1
MIR4762	ENSG00000264160.1	HGNC:41603	
LINC01137	ENSG00000233621.2	HGNC:49453	OTTHUMG00000004224.3
AC020655.1	ENSG00000287873.1		OTTHUMG00000194039.1
